H,HP,セーブ,ボーク,三振,勝利,勝率,名前,四球,失点,安打,完封勝,完投,年度,所属球団,打者,投球回,敗北,暴投,本塁打,死球,無四球,登板,自責点,防御率
0,0,0,0,0,0,.000,村上　頌樹,5,10,9,0,0,2021,阪　神,30,5,1,1,3,0,0,2,10,16.88
0,0,0,0,7,0,.000,Ｊ．エドワーズ,4,3,6,0,0,2021,阪　神,31,7,0,0,1,0,0,7,2,2.57
0,0,0,0,3,0,.000,守屋　功輝,1,4,5,0,0,2021,阪　神,16,3,0,0,1,1,0,2,4,12.00
6,7,0,0,48,3,.500,Ｒ．アルカンタラ,14,25,55,0,0,2021,阪　神,243,59,3,3,6,0,0,24,23,3.49
0,0,0,0,107,10,.588,秋山　拓巳,25,43,121,0,1,2021,阪　神,539,132,7,2,18,3,1,24,40,2.71
1,2,0,0,26,1,.500,齋藤　友貴哉,12,14,23,0,0,2021,阪　神,103,23,1,3,1,0,0,19,12,4.63
0,0,0,0,87,9,.750,Ｊ．ガンケル,24,39,99,0,0,2021,阪　神,465,113,3,0,10,3,0,20,37,2.95
0,0,0,0,104,13,.684,青柳　晃洋,48,48,143,0,0,2021,阪　神,651,156,6,0,11,3,0,25,43,2.48
1,2,0,0,3,1,.333,加治屋　蓮,1,6,7,0,0,2021,阪　神,29,5,2,0,1,1,0,7,5,7.94
4,4,0,0,16,0,.000,小林　慶祐,11,8,17,0,0,2021,阪　神,86,20,1,0,1,0,0,22,5,2.25
0,0,0,0,18,0,.000,望月　惇志,8,11,18,0,0,2020,阪　神,81,19,0,3,2,0,0,16,11,5.21
0,0,0,0,7,0,.000,桑原　謙太朗,4,7,8,0,0,2021,阪　神,33,7,0,1,2,1,0,7,7,9.00
0,0,0,0,2,0,.000,湯浅　京己,2,7,10,0,0,2021,阪　神,21,3,0,2,0,0,0,3,6,18.00
2,3,0,0,19,1,1.000,小川　一平,7,7,15,0,0,2021,阪　神,83,21,0,0,2,0,0,19,7,2.95
0,0,0,0,16,0,.000,石井　大智,6,12,17,0,0,2021,阪　神,75,17,1,1,3,0,0,18,12,6.23
0,1,42,0,58,1,.500,Ｒ．スアレス,8,9,40,0,0,2021,阪　神,229,62,1,1,0,0,0,62,8,1.16
1,2,0,0,15,1,.500,伊藤　和雄,20,7,8,0,0,2020,阪　神,74,15,1,1,0,0,0,15,6,3.52
0,0,0,0,0,0,.000,石井　将希,2,1,2,0,0,2020,阪　神,7,1,0,0,0,0,0,1,1,9.00
11,15,1,0,60,4,1.000,島本　浩也,14,13,42,0,0,2019,阪　神,229,59,0,0,4,4,0,63,11,1.67
